News Title,News Link,Publish Date,Description,Report Type,Gemini_responses
A student of Islami University was killed in a truck-Mahindra collision,https://www.prothomalo.com/bangladesh/district/767hs8ieg4,25-09-2024,"&lt;p&gt;A student of Islami University and an SI of Daulatpur police station were killed in a head-on collision between a dump truck and a passenger Mahindra at Kumarkhali in Kushtia. At least seven people were injured in this incident. The accident took place at Balur field area of ​​Nandalalpur union of Kumarkhali upazila on Kushtia-Rajbari regional highway today on Wednesday.&lt;/p&gt;&lt;p&gt; The name of the deceased student is Monir Hossain (22). He is the son of Billal Hossain of Jhautla area of ​​Sadaki union of Kumarkhali upazila. He was a graduate (honours) student of the 2022-23 academic year of the Department of Arabic Language and Literature at Islami University. In the same accident, the SI of Daulatpur police station was named Shahidul Islam.&lt;/p&gt;.&lt;p&gt;The injured persons are Asadul Islam (60) of Shilaidah village of Kumarkhali upazila, Arman (60) of Char Chapra village and his wife Maleka Khatun (45), Sherkandi. Hasen Ali (60) of the village, Mamtaz Begum (40) wife of Feroz Hossain of Gosaidangi village of Khoksa upazila, Ruhul (19) of Satbaria village of Bheramara upazila and Riazul Islam (30) son of Abdul Hakim.&lt;/p&gt;.&lt;p&gt;Kushtia Chaudhas According to highway police and eyewitness sources, this afternoon at Kalur Mor area of ​​Kumarkhali, a passenger Mahindra leaving from Kushtia collided head-on with a dump truck coming from the direction of Rajbari. &lt;/p&gt;.&lt;p&gt;This makes the Mahindra twitch. 9 passengers including the driver were seriously injured. Later local people rescued them and took them to Kushtia General Hospital. Students Monir Hossain and Shahidul Islam died while undergoing treatment there.&lt;/p&gt;&lt;p&gt; Professor Naqeeb Mohammad Nasrullah joined Kushtia Islami University as Vice-Chancellor on Tuesday. After hearing the news that the university student was killed on Wednesday, he rushed to the Kushtia General Hospital to see the body of the student. 9 people were seriously injured and they were sent to the hospital. &lt;/p&gt;&lt;p&gt; Kushtia Chaudhary Highway Police Officer-in-Charge Akul Chandra Biswas said that a student of Islami University was killed in a head-on collision between a dump truck and a Mahindra. Several people, including a police SI, were injured in the accident and are undergoing treatment at the hospital. The truck and the Mahindra have been impounded. Legal action will be taken in this regard.&lt;/p&",Specific,Specific<sep>25 সেপ্টেম্বর ২০২৪<sep>25 সেপ্টেম্বর ২০২৪<sep>বেলা তিনটার দিকে<sep>2<sep>7<sep>কুমারখালী উপজেলার নন্দলালপুর ইউনিয়নের বালুর মাঠ এলাকা<sep>আঞ্চলিক মহাসড়ক<sep>No<sep>ডাম্প ট্রাক-মাহিন্দ্রা<sep>কুষ্টিয়া
"The driver pushed the pedestrian and dragged him for a kilometer, setting fire to the bus",https://www.prothomalo.com/bangladesh/district/kmiix37dyi,23-09-2024,"&lt;p&gt;Dhaka-Mymensingh highway, a woman pedestrian was killed by a passenger bus in Bordbazar area of ​​Gazipur metropolis. After pushing the woman, the driver drove the bus for about one kilometer while the woman was stuck behind the bus, witnesses said. Later local people stopped the bus and set it on fire. At that time, another pedestrian was injured in the bus. The police could not immediately confirm the identity of the two dead and injured.&lt;/p&gt;.&lt;p&gt;Police and witnesses said that several factory workers were crossing the road in front of Lavang restaurant in Bordbazar area of ​​Gazipur metropolis. At that time, a passenger bus of Uzanbhati Paribahan lost control while heading towards Dhaka and crushed the two. A woman got stuck behind the bus after being pushed. The bus dragged the trapped woman for about a kilometer. Later, people chased and intercepted the bus near Barabari area. They rescued the woman and admitted her to a local private hospital. At that time, the excited crowd threw the passengers off the bus and set it on fire. Nazrul Islam, a resident of Board Bazar area, said that the bus hit some pedestrians while driving. Among them, a woman was dragged behind the car and taken one and a half kilometers away. &lt;/p&gt;&lt;p&gt; Ali Mohammad Rashed, officer-in-charge of Gacha Police Station of Gazipur Metropolitan Police, said that the woman died after being taken to the hospital. His identity could not be immediately confirmed. The fire service was informed after receiving information about the fire in the bus. Apart from this, police have been sent to the spot.&lt;/p&gt;",Specific,"Specific<sep>23 সেপ্টেম্বর ২০২৪, ১৭: ৫১<sep>23 সেপ্টেম্বর 2024<sep>রাত নয়টা<sep>1<sep>1<sep>গাজীপুর মহানগরীর বোর্ডবাজার এলাকা<sep>Highway<sep>Yes<sep>Bus<sep>Gazipur"
Battery-powered rickshaws on the Dhaka-Chittagong highway,https://www.prothomalo.com/photo/bangladesh/qgzhplh093,23-09-2024,"&lt;p&gt;Battery-powered rickshaws and auto-rickshaws are becoming reckless day by day on Dhaka roads. These vehicles, which used to run in the streets of the capital, are now running on the highway. Accidents occur regularly due to the movement of these rickshaws and auto-rickshaws, sometimes in parallel with large vehicles, sometimes in the opposite direction. The story of this film with images of different areas of the capital including the Dhaka-Chittagong highway.&lt;/p&gt;",General,General
2 killed in separate road accidents in the capital,https://www.prothomalo.com/bangladesh/capital/ejojakvowt,22-09-2024,"&lt;p&gt;Two persons were killed in a road accident in the capital. Yesterday, Saturday night, two incidents happened at separate places.&lt;/p&gt;&lt;p&gt;Sanitary businessman was killed by a truck while crossing the road at Kajla in Jatrabari Farooq Hossain (45).&lt;/p&gt;&lt;p&gt;Suman Khan (24), a battery-operated rickshaw driver, was killed after being hit by a truck in Baganbari area of ​​Kamrangirchar.&lt;/p&gt;&lt;p&gt;Jatrabari Police Station Deputy Inspector (SI) Sifat Ahmed said , Farooq was returning home after work on Saturday around 12:15. A speeding truck hit him while crossing the road. He fell on the road and got seriously injured.&lt;/p&gt;.&lt;p&gt;Relatives on hearing the news rescued him and took him to the emergency department of Dhaka Medical College Hospital around 1:15 AM. There he was declared dead by the doctor on duty. Police seized the truck in this incident. The driver is absconding. Farooq's body has been kept at Dhaka Medical College morgue for post-mortem. Hospital sources said that Farooq's village home is Syedpur village of Munshiganj Sadar Upazila. Father's name is Abdul Motaleb. He lived in a rented house in Kajla area of ​​the capital. &lt;/p&gt;&lt;p&gt; Ismail Hossain, the cousin of Sumon who was killed in Kamrangirchar, said that Sumon's rickshaw broke down on the road in Baganbari area yesterday around nine o'clock on Saturday night. He was fixing the rickshaw on the road. At that time, a speeding truck from behind hit him. He was seriously injured. He was taken to the emergency department of Dhaka Medical College Hospital around 3:30 p.m. He was declared dead in the hospital.&lt;/p&gt;.&lt;p&gt;Dhaka Medical College Hospital Police Camp Inspector Farooq said, Suman's body has been kept in the college morgue. The matter has been reported to the concerned police station. &lt;/p&gt;&lt;p&gt; According to hospital sources, Suman's village home is in Nabunchar Daulatkha village of Kalkini upazila of Madaripur. Father's name is Md. Belal Khan. Suman lived in the capital's Kamrangirchar area.&lt;/p&gt;",specific,General
"Truck driver killed in road accident in Banani, Dhaka",https://www.prothomalo.com/bangladesh/capital/3v26g4lhju,20-09-2024,"&lt;p&gt;A truck driver named Liton Chandra Bhawal (45) died in a road accident in Banani of the capital. His assistant was seriously injured in the incident. The accident took place on Thursday night yesterday. &lt;/p&gt;&lt;p&gt;Police say that Liton Chandra Bhawal hit the truck standing on the side of the road in Kakali area around two o'clock yesterday night. Litton was seriously injured. Later, he was rescued and taken to the emergency department of Dhaka Medical College Hospital at around three o'clock in the morning. The doctor declared him dead. &lt;/p&gt; Mujibur Rahman told Prothom Alo, after the autopsy, the dead body has been handed over to the relatives. &lt;/p&gt;&lt;p&gt;Police said that Liton Chandra Bhawal's house is in Islampur area of ​​Jamalpur district. His father's name is Piyush Chandra Bhawal.&lt;/p&gt;",Specific,"Specific<sep>20 সেপ্টেম্বর ২০২৪<sep>19 সেপ্টেম্বর 2024<sep>2:00 AM<sep>1<sep>1<sep>কাকলী, বনানী <sep>Road<sep>No<sep>Truck-Truck<sep>Dhaka"
The imam who was celebrated for 4 decades of imamate died in a road accident while going to Makkah to perform Umrah.,https://www.prothomalo.com/bangladesh/district/e8qyyq6qat,20-09-2024,"&lt;p&gt;Kishorganj's Pakundia imam, who was welcomed by the villagers for four decades without money, was killed in a road accident in the holy city of Makkah while performing Umrah (Inna Lillahi wa Inna Ilaihi Raziun). The name of the deceased is Maulana Md. Sirajul Islam (76).&lt;/p&gt;&lt;p&gt; Sirajul Islam was a resident of Madhya Tarakandi village of Zangalia Union of Pakundia Upazila. He was the imam of Tarakandi Akand Bari Jame Masjid. He retired in March last year due to old age at the age of 75 after serving as Imam for 48 years. For nearly four decades, he had performed imam without money, and the villagers gave him a grand welcome at the time of his farewell. The youth of the village even delivered Sirajul home on a motorcycle. The issue received a lot of response in the area. A pictorial report was published in Prothom Alo on March 5 last year. &lt;/p&gt;.&lt;p&gt;Sirajul Islam was the imam of the historic Tarakandi Eidgah field. Was the former super (head teacher) of Pakundia Charfaradi Dakhil Madrasa and the president of the governing body of Tarakandi Senior Fazil Madrasa.&lt;/p&gt;&lt;p&gt;Family sources said that Maulana Sirajul Islam was killed on the spot in a road accident near the Prophet's house in Makkah, Saudi Arabia while performing Umrah. be On September 15 (Sunday) around 9:30 a.m. Bangladesh time, he was hit by a car while crossing the road while walking. The previous day he had gone to Saudi Arabia to perform the holy Umrah. He left behind many relatives and well-wishers, including his wife, three sons and five daughters. &lt;/p&gt;.&lt;p&gt; Sirajul Islam's younger son Akiqul Islam told Prothom Alo that the police immediately identified his father as he did not have a passport and visa while crossing the road. could not Later, the police reported the matter to the Hajj agency on Thursday afternoon after being identified through the fingerprint of the biometric system. Later they called this information to Bangladesh and told the family of the deceased.&lt;/p&gt;.&lt;p&gt;Aqikul Islam also said that while performing Umrah, his father got separated from the caravan and he did not have any visa passport. It took four days to arrive. Asking everyone to pray for his father, Akiq said, next Monday, his father's body will be buried in Jannatul Mualla cemetery in Makkah city.&lt;/p&gt;",Specific,"Specific<sep>20 September 2024<sep>15 September 2024<sep>Slightly after 9:00 AM (Bangladesh time)<sep>1<sep>0<sep>Mecca, Saudi Arabia, near the Prophet's house<sep>Road<sep>Yes<sep>Car<sep>Foreign"
"Two passenger buses collide in Chittagong, 12 injured",https://www.prothomalo.com/bangladesh/district/yihg0a0vfh,20-09-2024,"&lt;p&gt;Two passenger buses collided head-on in C&B area of ​​Chittagong city. The accident took place in front of Usmania Glass Sheet Factory Limited at around 9 am on Friday. Hospital authorities have confirmed that 12 people have been brought to Chittagong Medical College Hospital till 12:30 in the incident. &lt;/p&gt;.&lt;p&gt;Police said, a bus coming from the city's Kalurghat road collided head-on with a bus heading towards C&B. Two bus passengers were injured on the spot. A bus operates on Kalurghat Patenga route in Nagar. The other is the head of Kaptai road from Newmarket. Two buses used to bring and take workers to factories in C&B area. 12 people were brought to Chittagong Medical College Hospital in the incident. But police say the number of injured could be higher. Quoting local people, the police said that some of the injured were treated at nearby pharmacies. There is no list of injured persons.&lt;/p&gt;.&lt;p&gt; Sub-Inspector of Chandgaon Police Station, who was at the scene, Suman Barua told Prothom Alo that two buses are coming to the scene. Two buses used to bring workers from two factories. The owner has been contacted. They said they are in the hospital. Action will be taken if they take legal action.&lt;/p&gt;",Specific,"Specific<sep>20 September 2024<sep>20 September 2024<sep>9:00 AM<sep>0<sep>12<sep>C&B area, Chattogram<sep>Not mentioned<sep>No<sep>bus-bus<sep>Chattogram"
534 people died in 490 accidents across the country in August,https://www.prothomalo.com/bangladesh/l5ke0c982y,19-09-2024,"&lt;p&gt;Last August, 490 accidents occurred on road, rail and waterways across the country. And 534 people were killed and 989 injured in these accidents. &lt;/p&gt;&lt;p&gt;This information was informed in a press release sent by Bangladesh Passenger Welfare Association on Thursday. The road accident monitoring cell of the organization prepares reports based on the accident news published in national and regional newspapers and online news portals. According to the press release signed by Mozammel Haque Chowdhury, 476 people were killed and 985 injured in 467 road accidents in the country last August. 8 people were killed and 2 injured in 10 railway accidents. And in 13 accidents on the waterway, 50 people were killed, 2 were injured and 9 were missing. &lt;/p&gt;&lt;p&gt; Last month, the most number of road accidents occurred in Dhaka division, the notification said. 117 road accidents occurred in that section. 121 people were killed and 261 injured in these accidents. Barisal division has the least number of road accidents. 26 people were killed and 93 injured in 27 road accidents in this section.&lt;/p&gt;.&lt;p&gt; According to the press release, 90 drivers, 75 pedestrians, 39 transport workers, 54 students, 66 women, 49 children, 12 leaders-activists of various political parties, 3 journalists, 1 member of the law enforcement force, 1 teacher, 1 lawyer are there. Public transport drivers, 74 pedestrians, 55 women, 43 children, 33 students, 17 transport workers, leaders of various political parties, 11 leaders and workers, 1 member of the police, 1 teacher, 1 journalist and 1 lawyer. .&lt;/p&gt;.&lt;p&gt;More than 31 percent of road accidents were motorcycle accidents, more than 21 percent were truck-pickup-covered vans and lorries and more than 10 percent were bus accidents.&lt;/p&gt;&lt;p&gt; 41.54 percent of the total accidents that occurred were car crashes. Analysis of the types of accidents shows that 33.83 percent of the total accidents occurred on national highways, 20.77 percent on regional highways, 39.18 percent on feeder roads.&lt;/p&gt;",General,General
Teacher dies in road accident while going to school in Gazipur,https://www.prothomalo.com/bangladesh/district/iqrle7n5c3,17-09-2024,"&lt;p&gt;Primary school headmaster dies in road accident while going to school in Gazipur's Kapasia. The accident took place on Tuesday morning at 9:30 am in the upazila's Gazipur-Kapasia regional road in Chermarta area. The deceased teacher's name is Siddika Begum (48). She is the head teacher of Kazahaji Government Primary School of Chandpur Union of Kapasia Upazila and wife of Ataur Rahman of Moushadhamna village of Kapasia Upazila. She was going to school on a motorcycle with her husband. Her husband Ataur Rahman was seriously injured in the accident and is undergoing treatment at the hospital.&lt;/p&gt;.&lt;p&gt;Local people said that there was a head-on collision between two motorcycles in Chermarta area. The head teacher was going to school with her husband on a motorcycle. A total of four people on two motorcycles were thrown on the road in the collision. Among them, the head teacher Siddika Begum died on the spot. On the other hand, the head teacher's husband was taken to Shaheed Tajuddin Ahmad Medical College Hospital in Gazipur with serious injuries. Apart from this, his relatives took two other people from the other motorcycle to the hospital in the accident. Their identity is not known. &lt;/p&gt;.&lt;p&gt; Officer-in-charge of Kapasia Police Station. Kamal Hossain told Prothom Alo, ""I heard that a primary school teacher died in a road accident. This is being looked into.'&lt;/p&gt;",Specific,"Specific<sep>17 সেপ্টেম্বর ২০২৪, ১০: ৫৭<sep>17 সেপ্টেম্বর ২০২৪<sep>সকাল পৌনে ৯টা<sep>1<sep>3<sep>গাজীপুর-কাপাসিয়া আঞ্চলিক সড়কের চরমার্তা এলাকা<sep>Regional road<sep>No<sep>Motorcycle-motorcycle<sep>Gazipur"
Chhatra Dal leader and 2 killed in Habiganj truck crash,https://www.prothomalo.com/bangladesh/district/prg8sosnjf,15-09-2024,"&lt;p&gt;Two motorcycle riders were killed after being hit by a truck in Habiganj's Chunarughat. The incident took place in the Chandrichhara tea garden area of ​​the upazila on Saturday around 10 pm.&lt;/p&gt;&lt;p&gt;The two deceased are Hafiz Sarkar, son of Maulad Mia of Sudiakhla village of Shaestaganj upazila and Mostafizur Rahman, son of Haji Kimmat Ali of Talugarai village. Hafiz was the senior joint convenor of Shaistaganj Municipal Chhatra Dal. &nbsp;&lt;/p&gt;.&lt;p&gt; According to the police, quoting eyewitnesses and local people, Hafiz and Mostafizur came to Chandrichhara tea garden area on Saturday night on a motorcycle. On the way back, the motorcycle lost control and fell near the tea garden shrine around 10 pm. Then a speeding truck hit them from behind. Both of them died on the spot. Immediately after this incident, the driver fled with the truck. &lt;/p&gt;.&lt;p&gt;Chunarughat Police Station Officer-in-Charge (OC) Hillol Roy said around 10 am on Sunday, the bodies of the two have been handed over to their relatives this morning. No case has yet been filed in this incident.&lt;/p&gt;",Specific,"Specific<sep>15 September 2024<sep>14 September 2024<sep>10 PM<sep>2<sep>0<sep>Chandrichora tea garden area, Chunarughat<sep>Not mentioned<sep>No<sep>Truck-Motorcycle<sep>Habiganj"
"Autorickshaw lost control and hit a tree, one passenger was killed",https://www.prothomalo.com/bangladesh/ikhiavndum,14-09-2024,"&lt;p&gt;A passenger of an auto-rickshaw has been killed after colliding with a tree uprooted on the side of the road due to strong winds in Hatia upazila of Noakhali. His name is Khairul Mustafa (24). He is the son of deceased Omar Farooq of Jahazamara village of the upazila. The accident took place on the Jahazamara-Ochkhali road on the west side of Sagaria Bazar in Burirachar Union of the upazila on Friday around 7 pm. &lt;/p&gt;.&lt;p&gt;Police and local residents said that Khairul Mostafa was returning to his home in Jahazamara village by autorickshaw from Ochkhali in the evening. The autorickshaw lost control while crossing the road west of Sagaria Bazar. At one point, the autorickshaw collided with an uprooted tree on the side of the road and overturned. At that time, Khairul was rescued and taken to the hospital in an injured state, where he died at around 2:30 in the morning. &lt;/p&gt;.&lt;p&gt; Tanzina Ayakub, the cousin of the deceased Khairul, told Prothom Alo that Khairul was first taken to the upazila health complex in an injured condition. But from there he was asked to be taken to the district headquarter hospital. But because it was too late to get the boat at night, it was almost two o'clock in the morning to be taken to a private hospital in the district headquarters. Khairul died due to excessive bleeding around 2:30 am. &lt;/p&gt;&lt;p&gt; Inspector (Investigation) of Hatia police station Moniruzzaman confirmed the death of Khairul in a road accident.&lt;/p&gt;",Specific,Specific<sep>14 সেপ্টেম্বর ২০২৪<sep>13 সেপ্টেম্বর 2024<sep>সন্ধ্যা ৭টার দিকে<sep>1<sep>0<sep>সাগরিয়া বাজারের পশ্চিম পাশে জাহাজমারা-ওছখালী সড়কে<sep>Road<sep>No<sep>অটোরিকশা<sep>নোয়াখালী
Grandparents killed by bus while crossing highway in Comilla,https://www.prothomalo.com/bangladesh/district/d5j7xocwjh,14-09-2024,"&lt;p&gt;A child and his grandmother were killed when a bus ran over them while crossing the Dhaka-Chittagong highway in Comilla's Burichong upazila. The accident took place in the Kalakchua area of ​​the highway on Saturday around 1:15.&lt;/p&gt;&lt;p&gt;The two deceased are Razia Begum (50), a resident of Dakshin Rachia village of Panchthupi Union of Comilla Adarsh ​​Sadar Upazila, and her son Ismail Hossain (8), son of Mohiuddin. .&lt;/p&gt;.&lt;p&gt; Police said quoting the family, Grandmother Razia went to a relative's house with grandson Ismail. On their way back from there, they met with an accident while crossing the highway.&lt;/p&gt;&lt;p&gt;The matter was confirmed by the Officer-in-Charge (OC) of Mainamati Highway Police Station Iqbal Bahar Majumdar. He said that the driver and assistant fled the scene with the bus after hitting the grandson and grandmother. But the bus has been identified. Efforts are on to arrest the people involved.&lt;/p&gt;.&lt;p&gt;OC also said that while crossing the Dhaka-bound lane of the highway, a bus named 'Asia Aircon' hit Razia and Ismail. They were killed on the spot. After receiving the information, the highway police recovered the body from there and took it to the police station. The two bodies will be handed over to the relatives after legal proceedings.&lt;/p&gt;",Specific,"Specific<sep>14 September 2024<sep>14 September 2024<sep>Around 12:45 PM<sep>2<sep>0<sep>Kalakchua area, Burichong Upazila<sep>Highway<sep>Yes<sep>bus<sep>Cumilla"
Sajedur lost his life in a road accident on his wedding day,https://www.prothomalo.com/bangladesh/district/oawvu23ld2,14-09-2024,"&lt;p&gt;The bridegroom Sajedur Rahman (25) went to the market to bring curd after keeping guests at home on his wedding day in Atrai Upazila of Naogaon. But before he could return home, he died in a road accident. This accident took place in Sutkigacha area of ​​Atrai-Bandhaikhara road at around 12 noon on Saturday.  &lt;/p&gt;&lt;p&gt;Deceased Sajedur Rahman is the son of Azadur Rahman of Nandanali village of upazila. His death cast a shadow of mourning on the marriage. Atrai Police Station Inspector (Investigation) Md. Lutfar Rahman confirmed this information in Prothom Alo today.&lt;/p&gt;.&lt;p&gt; Ratan Islam, sister-in-law of the deceased Sajedur Rahman said, the wedding ceremony was organized at Sajedur's house on Saturday. Sajedur was returning home with his sister-in-law on a motorcycle after buying curd from Bhabanipur market in the upazila. &lt;/p&gt;.&lt;p&gt;On his way back home, he lost control of the motorcycle in Shuntkigacha area of ​​the upazila and was seriously injured. Later, with the help of local residents, the relatives rescued Sajedur and took him to the Upazila Health Complex. At this time, the doctor on duty declared him dead. &lt;/p&gt;&lt;p&gt; Inspector (Investigation) of Atrai Police Station. Lutfar Rahman said, ""I received news of the death of one person in a road accident.""&lt;/p&gt;",Specific,"Specific<sep>14 সেপ্টেম্বর ২০২৪, ১০: ০৯<sep>14 September 2024<sep>12 PM<sep>1<sep>0<sep>Sutkigacha area on the Atra-Bandhaikhara road<sep>Road<sep>No<sep>Motorcycle<sep>Naogaon"
"After hitting the pedestrian, he fell on the road and killed 2 including the motorcyclist",https://www.prothomalo.com/bangladesh/district/y0o8a8mnoc,14-09-2024,"&lt;p&gt;Two people, including a college student, were killed in a road accident at Damurhuda in Chuadanga. Apart from this, two others were injured. The accident took place in Jairampur Kanthaltala area of ​​the upazila on Friday night.&lt;/p&gt;&lt;p&gt;The deceased are residents of Alukdia village of Chuadanga Sadar upazila and students of Alamdanga Government College. Badsha (20) and a resident and businessman of Jairampur Hajipara of Damurhuda upazila. Alauddin (40). Apart from this, Ekhlas Uddin (22) and Sohag Hossain (18) of Alukdia village were injured.&lt;/p&gt;.&lt;p&gt; Local residents and witnesses said that Badshah, Ekhlas and Sohag were going to Chuadanga from Darshana on a motorcycle. The vehicle was driven by the king. Alauddin was crossing the road at the accident site around eight o'clock last night. At that time, three riders lost control of the motorcycle and hit him and fell on the road. Ekhlas and Sohag were given first aid there. On the other hand, Badshah and Alauddin were sent to Chuadanga Sadar Hospital in a coma. The king was pronounced dead there by doctor Al Imran Jewel. And Alauddin was taken to Rajshahi Medical College Hospital for better treatment. He died last night while undergoing treatment there.&lt;/p&gt;.&lt;p&gt; Damurhuda Model Police Station Inspector (Operation) Himel Rana confirmed the truth of this news.&lt;/p&gt;",Specific,"Specific<sep>14 সেপ্টেম্বর ২০২৪<sep>13 সেপ্টেম্বর 2024<sep>8:00 PM<sep>2<sep>2<sep>জয়রামপুর কাঁঠালতলা, দামুড়হুদা<sep>Road<sep>Yes<sep>Motorcycle<sep>চুয়াডাঙ্গা"
"Mother's death while trying to save her son, madrasa teacher returned home as a dead body",https://www.prothomalo.com/bangladesh/district/mctzh3e58s,12/9/2024,"&lt;p&gt;A mother died after being crushed by the wheels of a truck while trying to save her son in Phulghazi, Feni. Her name is Jahanara Akhtar (34). The incident took place in Sadar Bazar area of ​​Fulgazi Upazila on Wednesday evening. At the same time, a madrasa teacher named Manjurul Alam (45) was killed in a road accident in the old Muhuriganj area of ​​Chagalnaya upazila on the Dhaka-Chittagong highway. He lived with his son Alif Uddin (12) in a rented house in Fulgazi Upazila Sadar. They were going to shop at Fulgazi Upazila Sadar Bazaar yesterday evening. Seeing a speeding truck coming on the road, Jahanara dragged Akhtar's son to one side of the road and was crushed to death by the wheels of the truck. &lt;/p&gt;.&lt;p&gt;Later local people intercepted the truck and handed over the driver to the police. Officer-in-charge (OC) of Fulgazi police station. Nizam Uddin confirmed the truth of the incident and said that the body has been sent to Feni Sadar General Hospital morgue for autopsy. Truck driver Jasim Uddin has been arrested. The truck has been kept in police custody. On the other hand, Manjurul Alam (45) was killed in a road accident in the old Muhuriganj area of ​​Chagalnaya upazila on the Dhaka-Chittagong highway at around 6 pm on Wednesday. He was the son of Abdul Munaf of North Farhad Nagar village of Farhad Nagar Union of Feni and a teacher of Nurani Talimul Qur'an Hafezia Madrasah, East Ghopal Muhuri Pukurpar of Chagalnaya Upazila. &lt;/p&gt;.&lt;p&gt;Police and locals said, Old Muhuriganj of Chagalnaya Upazila on Dhaka-Chittagong highway. Manjurul Alam was riding his motorcycle in front of the Starline counter towards home. At that time, a speeding covered van hit the motorcycle from behind. He fell down and got seriously injured. Highway police with the help of local people rescued him and sent him to Feni Sadar General Hospital for treatment. After being taken to the emergency department, the doctor on duty there declared him dead. Rashed Khan Chowdhury said that in view of the request of the family, the body of Manjurul Alam was handed over to the family without an autopsy. Legal action is pending in this incident.&lt;/p&gt;",Specific,Specific<sep>12 সেপ্টেম্বর ২০২৪<sep>11 সেপ্টেম্বর 2024<sep>সন্ধ্যা<sep>2<sep>0<sep>ফুলগাজী উপজেলা সদর বাজার এবং ছাগলনাইয়া উপজেলার পুরাতন মুহুরীগঞ্জ<sep>Highway and Market road<sep>Yes<sep>Truck-Motorcycle-Covered Van<sep>Feni
"Bus hits covered van in Comilla, body of bus driver's assistant is dismembered",https://www.prothomalo.com/bangladesh/district/r0rhz36tbg,11/9/2024,"&lt;p&gt;A passenger bus lost control and hit the back of a covered van standing in Comilla Sadar Dakshin Upazila on the Dhaka-Chittagong highway. The front part of the bus was twisted and the body of the assistant of the bus driver was severed and he died on the spot.&lt;/p&gt;&lt;p&gt;This incident took place on the Chittagong-facing lane in Kamalapur area of ​​Sadar Dakshin Upazila around 11:30 today on Wednesday. At least 14 people were injured in this accident. 4 of them have been sent to Dhaka in critical condition. Other injured persons were rescued and sent to Upazila Health Complex and Comilla Medical College Hospital. &lt;/p&gt;&lt;p&gt;Comilla Mainamati Highway Police Station Officer-in-Charge (OC) Iqbal Bahar Majumdar confirmed the incident.&lt;/p&gt;.&lt; p&gt; Around 3:30 am, OC Iqbal Bahar Majumdar said, the body of bus driver's assistant Al-Amin (25) was separated in the middle during the incident. After receiving the information, the highway police recovered the body of the deceased and brought it to the police station. The relatives of the deceased have been informed. If they come, the body will be handed over after the legal process. The accident bus was rescued and brought to the police station. &lt;/p&gt;&lt;p&gt; Comilla Sadar South Upazila Fire Service Station official Masud Rana said the Chittagong-bound bus hit a standing covered van. At that time, the front part of the bus was twisted and Al-Amin's body was separated. With the help of highway police and local people, the injured people were rescued and sent to different hospitals.&lt;/p&gt;",Specific,"Specific<sep>11 সেপ্টেম্বর ২০২৪<sep>11 সেপ্টেম্বর ২০২৪<sep>11:30 AM<sep>1<sep>14<sep>কমলাপুর এলাকা, কুমিল্লা সদর দক্ষিণ উপজেলা<sep>Highway<sep>No<sep>bus-covered van<sep>Cumilla"
